identifier,proposal-answer-text,question-text,answer-text,language,explication-text,images
values8f,array*arrayBuffer,Lequel permet de modifier sa taille ?,arrayBuffer,francais,Regardez s'il vous plait la définition de chacune des propositions,
values9e,Pascal Case*Camel Case*Snake Case*Kebab Case,To which one correspond this variable's convention: TheVariable,Pascal Case,english,Please see the definition of all the convention,
values10e,Pascal Case*Camel Case*Snake Case*Kebab Case,To which one correspond this variable's convention: theVariable,Camel Case,english,Please see the definition of all the convention,
values11e,Pascal Case*Camel Case*Snake Case*Kebab Case,To which one correspond this variable's convention: the_variable,Snake Case,english,Please see the definition of all the convention,
values12e,Pascal Case*Camel Case*Snake Case*Kebab Case,To which one correspond this variable's convention: the-variable,Kebab Case,english,Please see the definition of all the convention,
values9f,Pascal Case*Camel Case*Snake Case*Kebab Case,A quelle convention correspond le style de la variable suivante: TheVariable,Pascal Case,francais,Regardez s'il vous plait la définition de chacune des conventions,
values10f,Pascal Case*Camel Case*Snake Case*Kebab Case,A quelle convention correspond le style de la variable suivante: theVariable,Camel Case,francais,Regardez s'il vous plait la définition de chacune des conventions,
values11f,Pascal Case*Camel Case*Snake Case*Kebab Case,A quelle convention correspond le style de la variable suivante: the_variable,Snake Case,francais,Regardez s'il vous plait la définition de chacune des conventions,
values12f,Pascal Case*Camel Case*Snake Case*Kebab Case,A quelle convention correspond le style de la variable suivante: the-variable,Kebab Case,francais,Regardez s'il vous plait la définition de chacune des conventions,
values13e,Java*Python*Scala,To which one correspond this logo ?,Java,english,It's juste the logo of the programming language,https://toppng.com/uploads/preview/java-logo-11609365784e4gmvr3iyr.png
values14e,Java*Python*Scala,To which one correspond this logo ?,Python,english,It's juste the logo of the programming language,https://mpng.subpng.com/20180715/phb/kisspng-python-javascript-logo-clojure-python-logo-download-5b4ba705f356d3.4338622815316846139967.jpg
values15e,Java*Python*Scala,To which one correspond this logo ?,Scala,english,It's juste the logo of the programming language,https://seeklogo.com/images/S/scala-logo-8570724313-seeklogo.com.png
values16e,Git*GitHub*GitLab,To which one correspond this logo ?,Git,english,It's juste the logo of the system,https://git-scm.com/images/logos/downloads/Git-Icon-1788C.png
values17e,Git*GitHub*GitLab,To which one correspond this logo ?,GitLab,english,It's juste the logo of the system,https://seeklogo.com/images/G/gitlab-logo-757620E430-seeklogo.com.png
values18e,Git*GitHub*GitLab,To which one correspond this logo ?,GitHub,english,It's juste the logo of the system,https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png
values13f,Java*Python*Scala,Que représente le logo ?,Java,francais,C'est juste le logo du language de programmation,https://toppng.com/uploads/preview/java-logo-11609365784e4gmvr3iyr.png
values14f,Java*Python*Scala,Que représente le logo ?,Python,francais,C'est juste le logo du language de programmation,https://mpng.subpng.com/20180715/phb/kisspng-python-javascript-logo-clojure-python-logo-download-5b4ba705f356d3.4338622815316846139967.jpg
values15f,Java*Python*Scala,Que représente le logo ?,Scala,francais,C'est juste le logo du language de programmation,https://seeklogo.com/images/S/scala-logo-8570724313-seeklogo.com.png
values16f,Git*GitHub*GitLab,Que représente le logo ?,Git,francais,C'est juste le logo du system,https://git-scm.com/images/logos/downloads/Git-Icon-1788C.png
values17f,Git*GitHub*GitLab,Que représente le logo ?,GitLab,francais,C'est juste le logo du system,https://seeklogo.com/images/G/gitlab-logo-757620E430-seeklogo.com.png
values18f,Git*GitHub*GitLab,Que représente le logo ?,GitHub,francais,C'est juste le logo du system,https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png
values19e,Windows*MacOS*Linux,Which of those are under the unix system ?,Linux*MacOS,english,UNIX was developed as an open-source OS using C and Assembly languages,
values19f,Windows*MacOS*Linux,Lesquels d'entre eux sont sous le systemes unix ?,Linux*MacOS,francais,Unix est une famille de systèmes d'exploitation multitâche et multi-utilisateur,
values20e,Java*Python*Scalo,Which of those are programming languages ?,Java*Python,english,Scalo is not a programming language but Scala is,
values20f,Java*Python*Scalo,Lesquels d'entre eux sont des languages de programmation ?,Java*Python,francais,Scalo n'est pas un language de programmation mais Scala l'est,
values21e,Motherboard*Fatherboard*Ram,Which of those are in a PC ?,Motherboard*Ram,english,Fatherboard isn't a n IT Hardware,
values21f,Motherboard*Fatherboard*Ram,Lesquels d'entre eux sont dans un PC ?,Motherboard*Ram,francais,un Fatherboard n'est pas un composant informatique,
values22e,,What is the output in the terminal ?,6,english,See the documentation of list index,https://i.ibb.co/mcPDmxR/question-Array.png
values23e,,What is the output in the terminal ?,7,english,See the documentation of variable,https://i.ibb.co/TBgfv8m/question-Not-Global.png
values24e,,What is the output in the terminal ?,8,english,See the documentation of variable,https://i.ibb.co/YPZcPM9/question-Global.png
values22f,,Quel est l'output dans le terminal ?,6,francais,Regardez la documentation des index de list index,https://i.ibb.co/mcPDmxR/question-Array.png
values23f,,Quel est l'output dans le terminal ?,7,francais,Regardez la documentation de la portée des variables,https://i.ibb.co/TBgfv8m/question-Not-Global.png
values24f,,Quel est l'output dans le terminal ?,8,francais,Regardez la documentation de la portée des variables,https://i.ibb.co/YPZcPM9/question-Global.png
